Record #,Record Type,Title,Type of Improvement,Date Issued,Type of Property,Full Address,Estimated Project Value,Contractor Used,Project Description
PLMB-23-13,Plumbing Permit,Residential Plumbing Permit,Water Heater,1/2/2024 20:22,Residential,"146 ASHLAND AVE SW, NORTH CANTON, OH 44709",1600,By-tor Contracting Inc,Install/Exchange water heater
PLMB-23-12,Plumbing Permit,Residential Plumbing Permit,Water Heater,1/2/2024 20:23,Residential,"1681 WESTFIELD AVE SW, NORTH CANTON, OH 44709",1600,By-tor Contracting Inc,Install/Exchange Water Heater
PLMB-24-3,Plumbing Permit,Residential Plumbing Permit,Water Heater,1/2/2024 21:06,Residential,"1161 N MAIN ST, Unit 19, NORTH CANTON, OH 44720",1100,H. Jack's Plumbing & Heating Co.,Water heater replacement 
PLMB-24-1,Plumbing Permit,Residential Plumbing Permit,New Construction/Addition,1/2/2024 21:27,Residential,"1290 LONGSHADOW AVE NE, NORTH CANTON, OH 44720",18000,D & A Plumbing and Heating ,PLUMBING FOR NEW CONSTRUCTION HOME
PLMB-24-2,Plumbing Permit,Residential Plumbing Permit,Alteration/Remodel,1/3/2024 17:03,Residential,"514 EVERHARD RD SW, NORTH CANTON, OH 44709",6000,CLEVELAND ROOTER LLC DBA MR ROOTER PLUMBING ,APPROX 5-10' ON EXTERIOR SANITARY SEWER REPAIR
PLMB-23-11,Plumbing Permit,Residential Plumbing Permit,Other,1/3/2024 17:15,Residential,"705 APPLEGROVE ST NW, Unit 709, NORTH CANTON, OH 44720",165,That Plumber,Check gas valves 
PLMB-24-4,Plumbing Permit,Residential Plumbing Permit,Water Heater,1/4/2024 16:26,Residential,"28 LASALLE CT SE, NORTH CANTON, OH 44709",6150,ComfortPro Heating and Cooling LLC,REPLACE TANK WATER HEATER WITH TANKLESS WATER HEATER
PLMB-24-5,Plumbing Permit,Residential Plumbing Permit,Natural Gas Line,1/5/2024 16:27,Residential,"389 ORCHARD AVE NE, Unit 391, NORTH CANTON, OH 44720",1500,Coblentz Plumbing Solutions ,Replacement of in-line gas valve
ROOF-24-1,Roof Permit,Residential Roof Permit,New/ Re-Roof,1/5/2024 18:29,Residential,"140 JAMES ST SW, Unit 142, NORTH CANTON, OH 44720",12000,M D Home Services Inc,Re-Roof
PLMB-24-6,Plumbing Permit,Residential Plumbing Permit,Water Heater,1/8/2024 15:38,Residential,"179 APPLEGROVE ST NE, Unit B6, NORTH CANTON, OH 44720",1507.98,"JEM Plumbing, INC",Hot Water Tank Replacement
LTRL-24-1,Water or Sewer Lateral Permit,Residential Plumbing Permit,Sewer Lateral,1/8/2024 17:55,Residential,"1215 BEL AIR DR NW, NORTH CANTON, OH 44720",11500,CLEVELAND ROOTER LLC DBA MR ROOTER PLUMBING ,REPLACE 60' OF EXTERIOR SANITARY TO DRIVEWAY
PLMB-24-7,Plumbing Permit,Residential Plumbing Permit,Water Heater,1/8/2024 19:44,Residential,"1112 HILLCREST AVE SW, NORTH CANTON, OH 44720",1400,,replaced 40 gal hwh
ROOF-24-2,Roof Permit,Residential Roof Permit,Partial Replacement,1/9/2024 13:25,Residential,"607 APPLEGROVE ST NW, Unit 607, NORTH CANTON, OH 44720",1500,Mike's Comforting Home Repairs,Garge roof will need replaced
HVAC-24-1,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,New Construction/Addition,1/9/2024 14:38,Residential,"893 BRAEMAR CIR NE, NORTH CANTON, OH 44720",14000,Zoned Comfort Heating & Cooling,New natural gas furnace and air conditioner
PLMB-24-8,Plumbing Permit,Residential Plumbing Permit,Other,1/9/2024 14:42,Residential,"1033 N MAIN ST, NORTH CANTON, OH 44720",200,"R T Hampton Plumbing & Heating, Inc",Replace gas valve(s) to code per rental inspector.
PLMB-24-9,Plumbing Permit,Residential Plumbing Permit,Other,1/9/2024 15:43,Residential,"337 WOODSIDE AVE NE, NORTH CANTON, OH 44720",250,"R T Hampton Plumbing & Heating, Inc",Replace gas valve(s) to code per rental inspector.
PLMB-24-10,Plumbing Permit,Residential Plumbing Permit,Water Heater,1/9/2024 20:36,Residential,"800 EVERHARD RD SW, Unit 1402, CANTON, OH 44709",599.99,JEFF THE PLUMBER INC,INSTALLING CUSTOMER PROVIDED HOT WATER HEATER
PLMB-24-12,Plumbing Permit,Residential Plumbing Permit,Water Heater,1/10/2024 15:02,Residential,"177 APPLEGROVE ST NE, Unit C2, NORTH CANTON, OH 44720",1427.98,"JEM Plumbing, INC",Hot Water Tank Replacement
PLMB-24-11,Plumbing Permit,Residential Plumbing Permit,Other,1/10/2024 16:44,Residential,"1327 NEW ENGLAND DR SE, NORTH CANTON, OH 44720",997,Miracle Plumbing & Heating Co. Inc.,*Miracle will remove existing 1” ball valve that is leaking and install a new ball valve *Miracle will remove secondary line and meter that feeds sprinkler system *Miracle will cap the 1” water line that feeds the sprinkler system *Miracle will install a new copper tee off of the 1” main line and make connections to existing sillcocks *Miracle will check for leaks 
ELCT-24-2,Electrical Permit,Residential Electrical Permit,Alteration/Remodel,1/12/2024 14:10,Residential,"225 ROSE LANE ST SE, NORTH CANTON, OH 44720",275,"Tasos Electric Co., Inc.",Replace service entrance cable 
HVAC-24-3,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace,1/12/2024 14:11,Residential,"714 FORD AVE SW, NORTH CANTON, OH 44720",12430,SITTLER ENTERPRISES,REPLACING FURNACE AND A/C
HVAC-24-4,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace,1/12/2024 14:11,Residential,"307 EASTBURY AVE NE, NORTH CANTON, OH 44720",10500,SITTLER ENTERPRISES,replacement of furnace and a/c
PLMB-24-14,Plumbing Permit,Residential Plumbing Permit,Other,1/12/2024 15:42,Residential,"439 PIERCE AVE NW, NORTH CANTON, OH 44720",100,Mackin & Sons Plumbing,Change out 2 gas valves inside house
HVAC-24-8,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace,1/12/2024 19:05,Residential,"119 EASTBURY AVE NE, NORTH CANTON, OH 44720",10639,Bonsky Heating and Cooling ,furnace and ac replacement
PLMB-24-13,Plumbing Permit,Residential Plumbing Permit,Other,1/12/2024 19:40,Residential,"1409 Salway Ave NW, North Canton, Oh 44720",6400,D & A Plumbing and Heating ,"INSTALLING NEW 1"" K COPPER WATER SERVICE LINE FROM STREET TO HOUSE"
PLMB-24-16,Plumbing Permit,Residential Plumbing Permit,Water Heater,1/12/2024 19:41,Residential,"1630 HALIFAX WAY SE, CANTON, OH 44709",500,Countryside Plumbing Inc.,REPLACING LEAKING WATER HEATER
PLMB-24-15,Plumbing Permit,Residential Plumbing Permit,Water Heater,1/12/2024 19:41,Residential,"405 SHERATON DR NW, Unit 423, NORTH CANTON, OH 44720",1500,Buckeye Plumbing,Water heater installation & inspection
PLMB-24-17,Plumbing Permit,Residential Plumbing Permit,Water Heater,1/12/2024 20:06,Residential,"256 BONNETT ST SW, NORTH CANTON, OH 44720",900,Bryant Heating & Cooling,replace bad water heater
HVAC-24-10,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace,1/16/2024 13:23,Residential,"613 WOODLAND AVE SW, NORTH CANTON, OH 44720",7115,Bonsky Heating and Cooling ,Furnace and AC 
ROOF-24-3,Roof Permit,Residential Roof Permit,Repair,1/16/2024 15:10,Residential,"1232 SUNFORD AVE SE, NORTH CANTON, OH 44720",2300,Crest roofing,Replace 2.5 squares shingles
HVAC-24-11,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace,1/16/2024 15:58,Residential,"1582 SPERRY LN SE, CANTON, OH 44709",9000,Bonsky Heating and Cooling ,Furnace Repl
HVAC-24-5,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,New Construction/Addition,1/16/2024 16:56,Residential,"1330 SHILOH RUN SE, CANTON, OH 44709",20000,Echols Heating,"Install furnace, a/c, and ductwork"
HVAC-24-13,HVAC/Mechanical Permit,Commercial HVAC/Mechanical Permit,Other,1/16/2024 17:41,Commercial/Industrial,"805 Applegrove St NW, Unit 1304, North Canton, OH 44720",700,Forquer Heating & A/C,Replace hot water tank
